id;listing_url;name;host_id;host_name;host_is_superhost;neighbourhood_cleansed;property_type;room_type;bathrooms_text;bedrooms;beds;amenities;price;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month;Random
53671;https://www.airbnb.com/rooms/53671;Nice room near centre with en suite bath;247822;Georg;f;Westerpark;Private room in guest suite;Private room;1 private bath;1.0;1.0;"[""Wifi"", ""Children\u2019s books and toys"", ""Iron"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Smoke alarm""]";95.0;309;2011-04-12;2020-03-16;91;9.0;9.0;10.0;10.0;9.0;9.0;2.62;0
55256;https://www.airbnb.com/rooms/55256;Luminous central room;260785;Lotte;f;Centrum-Oost;Private room in apartment;Private room;1 shared bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";90.0;179;2011-02-20;2019-12-30;92;9.0;9.0;9.0;10.0;10.0;8.0;1.5;0
55621;https://www.airbnb.com/rooms/55621;Fully equiped house, PIJP area = great;262846;Bharati;f;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1 bath;2.0;2.0;"[""Microwave"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Fire extinguisher"", ""Bathtub"", ""Kitchen"", ""Iron"", ""Dishwasher"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";222.0;32;2010-11-19;2020-08-06;95;10.0;9.0;10.0;10.0;10.0;9.0;0.26;0
64736;https://www.airbnb.com/rooms/64736;Luxury Houseboat;306192;Conny;t;De Baarsjes - Oud-West;Houseboat;Entire home/apt;1.5 baths;1.0;1.0;"[""Wifi"", ""Iron"", ""Coffee maker"", ""Dishwasher"", ""Hangers"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Cable TV"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Heating"", ""Indoor fireplace"", ""Washer"", ""First aid kit"", ""Smoke alarm""]";189.0;103;2013-08-29;2019-08-06;98;10.0;10.0;10.0;10.0;10.0;10.0;1.16;0
64769;https://www.airbnb.com/rooms/64769;Unique 3 bedroom house in Centre;312863;Marijntje;f;Centrum-Oost;Entire townhouse;Entire home/apt;2.5 baths;3.0;6.0;"[""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cable TV"", ""TV"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Hot water"", ""Hangers"", ""Crib"", ""Fire extinguisher"", ""Shampoo"", ""Air conditioning"", ""Kitchen"", ""Indoor fireplace"", ""Iron"", ""Host greets you"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";450.0;27;2011-04-19;2019-01-05;97;10.0;10.0;10.0;10.0;10.0;9.0;0.23;0
67841;https://www.airbnb.com/rooms/67841;Amsterdam - The Pijp Apartment 1A;335166;Dene;f;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Long term stays allowed"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Hair dryer"", ""TV"", ""Heating"", ""Smoke alarm""]";106.0;16;2013-09-30;2019-08-12;94;10.0;10.0;10.0;9.0;10.0;9.0;0.18;0
68873;https://www.airbnb.com/rooms/68873;Yves Klein - Private Room;336950;Manuel;t;Centrum-West;Private room in apartment;Private room;1.5 shared baths;1.0;1.0;"[""Lock on bedroom door"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Smoke alarm"", ""Paid parking on premises"", ""Private entrance"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Iron"", ""EV charger"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";59.0;579;2011-02-21;2019-10-30;96;10.0;10.0;10.0;10.0;10.0;9.0;4.85;0
73208;https://www.airbnb.com/rooms/73208;Centre Museum Quarter Apt Roof Deck;381900;Vikki;t;Zuid;Entire apartment;Entire home/apt;3 baths;2.0;0.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Shampoo"", ""Bathtub"", ""Kitchen"", ""Cooking basics"", ""Indoor fireplace"", ""Iron"", ""Dishwasher"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";220.0;62;2011-03-14;2019-07-06;99;10.0;10.0;10.0;10.0;10.0;10.0;0.52;0
80635;https://www.airbnb.com/rooms/80635;TOP LOCATED Canalhouse B&B Jordaan;436145;Riks;f;Centrum-West;Private room in townhouse;Private room;1.5 baths;1.0;1.0;"[""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Smoke alarm"", ""Wifi"", ""Pocket wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Iron"", ""EV charger"", ""Host greets you"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Waterfront""]";109.0;218;2011-03-23;2020-01-01;95;10.0;10.0;10.0;10.0;10.0;9.0;1.84;0
82748;https://www.airbnb.com/rooms/82748;Bright apt in central Amsterdam;450453;Rudolf;f;Centrum-West;Entire apartment;Entire home/apt;1 bath;1.0;2.0;"[""Wifi"", ""Oven"", ""Coffee maker"", ""Fire extinguisher"", ""Shampoo"", ""Dryer"", ""Essentials"", ""Cable TV"", ""Kitchen"", ""Dishes and silverware"", ""TV"", ""Heating"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Smoke alarm"", ""Stove""]";249.0;131;2011-04-11;2020-01-02;96;10.0;9.0;10.0;10.0;10.0;9.0;1.11;0
118097;https://www.airbnb.com/rooms/118097;all private, city center @ home with art-1;538659;Wendie And Hans;t;Centrum-West;Private room in guest suite;Private room;1 private bath;1.0;0.0;"[""Microwave"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dishes and silverware"", ""Smoke alarm"", ""Patio or balcony"", ""Private entrance"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Shower gel"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Iron"", ""Host greets you"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";43.0;398;2012-04-05;2020-11-22;97;10.0;10.0;10.0;10.0;10.0;10.0;3.76;0
137901;https://www.airbnb.com/rooms/137901;Houseboat with beautiful view;673879;Paulien;f;Zuid;Houseboat;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Dryer"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";165.0;28;2012-01-02;2018-02-01;90;9.0;9.0;10.0;9.0;9.0;9.0;0.26;0
148132;https://www.airbnb.com/rooms/148132;Bright room in lively Kinkerbuurt;715549;Remy;f;De Baarsjes - Oud-West;Private room in apartment;Private room;1 shared bath;1.0;1.0;"[""Wifi"", ""Hot water"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Private living room""]";37.0;4;2018-10-21;2018-11-25;95;10.0;10.0;10.0;10.0;10.0;10.0;0.15;0
162467;https://www.airbnb.com/rooms/162467;Modern app. with brand new design bathroom;776296;Nicole;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Single level home"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Private entrance"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Shower gel"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Garden or backyard"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Extra pillows and blankets"", ""Heating"", ""Washer""]";160.0;56;2013-01-22;2020-09-27;95;10.0;9.0;10.0;10.0;9.0;9.0;0.58;0
168769;https://www.airbnb.com/rooms/168769;SUPERLOCATED Room in  CANALHOUSE, Private bath;436145;Riks;f;Centrum-West;Private room in townhouse;Private room;1.5 baths;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Lock on bedroom door"", ""Host greets you"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""First aid kit"", ""Hair dryer"", ""Heating"", ""Waterfront"", ""Smoke alarm""]";118.0;256;2011-09-28;2019-12-31;91;10.0;10.0;10.0;10.0;10.0;9.0;2.28;0
171498;https://www.airbnb.com/rooms/171498;Authentic Amsterdam Experience@Townhouse w/Rooftop;818319;Thijs;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;3.0;2.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Private entrance"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Cooking basics"", ""Lockbox"", ""Dishwasher"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Heating""]";249.0;5;2020-01-13;2020-03-02;100;10.0;10.0;10.0;10.0;10.0;10.0;0.45;0
179528;https://www.airbnb.com/rooms/179528;Authentic Amsterdam apartment RAI;856540;Pierre;f;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1.5 baths;2.0;2.0;"[""Microwave"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Ethernet connection"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Host greets you"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";275.0;27;2011-09-11;2019-11-18;89;9.0;9.0;10.0;10.0;9.0;9.0;0.24;0
200461;https://www.airbnb.com/rooms/200461;Studio next 2 V´park near Leidsepl.;539840;Johanna;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1 bath;;3.0;"[""Oven"", ""Iron"", ""Hot water"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Single level home"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Heating"", ""Cooking basics"", ""Dishes and silverware"", ""Refrigerator"", ""Body soap"", ""Stove""]";71.0;42;2011-08-29;2020-10-31;87;9.0;9.0;9.0;10.0;9.0;8.0;0.37;0
203658;https://www.airbnb.com/rooms/203658;Best Area - Large Luxury 3 Bdr Home;999036;Eelco;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;3.0;4.0;"[""Microwave"", ""Refrigerator"", ""Dishes and silverware"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Coffee maker"", ""Hangers"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";284.0;24;2012-01-04;2017-07-02;97;10.0;10.0;10.0;10.0;10.0;9.0;0.22;0
205759;https://www.airbnb.com/rooms/205759;Central yet quiet studio apartment;1011967;Tim;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Essentials"", ""Dryer"", ""Kitchen"", ""Heating"", ""Washer"", ""Smoke alarm""]";99.0;2;2015-07-20;2015-07-27;90;10.0;10.0;10.0;10.0;9.0;8.0;0.03;0
213721;https://www.airbnb.com/rooms/213721;Amsterdam Apartment (waterview);599238;Anouk;f;Zuid;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Single level home"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Lockbox"", ""Lake access"", ""Iron"", ""EV charger"", ""Dishwasher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Bed linens"", ""Heating"", ""Waterfront""]";151.0;41;2011-10-11;2019-05-11;99;10.0;10.0;10.0;10.0;10.0;9.0;0.37;0
230710;https://www.airbnb.com/rooms/230710;Jordaan apt with views of canals and Westerkerk;1205924;Peter;f;Centrum-West;Entire condominium;Entire home/apt;1 bath;2.0;2.0;"[""Wifi"", ""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Shampoo"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Heating"", ""Washer"", ""Lockbox"", ""Smoke alarm""]";125.0;16;2012-04-05;2018-08-31;91;10.0;10.0;10.0;10.0;10.0;9.0;0.15;0
246750;https://www.airbnb.com/rooms/246750;LOFT with terrace, super location!;1294098;Fernando;f;Centrum-West;Entire apartment;Entire home/apt;2 baths;2.0;2.0;"[""Wifi"", ""Oven"", ""Iron"", ""Microwave"", ""Hot water"", ""Coffee maker"", ""Dishwasher"", ""Long term stays allowed"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Washer"", ""Cooking basics"", ""Refrigerator"", ""Stove""]";220.0;21;2011-12-30;2014-08-05;98;10.0;10.0;10.0;10.0;10.0;9.0;0.19;0
256670;https://www.airbnb.com/rooms/256670;Caracteristic, family apartment;1350388;Stefan;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;2 baths;4.0;6.0;"[""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""First aid kit"", ""Smoke alarm"", ""High chair"", ""Cable TV"", ""TV"", ""Wifi"", ""Hot water"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Bathtub"", ""Kitchen"", ""Gym"", ""Iron"", ""Host greets you"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";250.0;7;2013-07-14;2019-08-06;91;9.0;9.0;9.0;10.0;9.0;9.0;0.08;0
262394;https://www.airbnb.com/rooms/262394;Charming Studio with Roof Terrace;1376607;Martin;t;Zuid;Private room in apartment;Private room;1 private bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Patio or balcony"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Hair dryer"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm""]";88.0;119;2012-04-11;2019-10-07;96;10.0;10.0;10.0;10.0;9.0;9.0;1.13;0
270839;https://www.airbnb.com/rooms/270839;Quiet room in sunny apartment on canal;1417625;Jan And Tota;t;Bos en Lommer;Private room in apartment;Private room;1 shared bath;1.0;1.0;"[""Microwave"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Private entrance"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Lockbox"", ""Iron"", ""Room-darkening shades"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Waterfront"", ""Washer""]";45.0;220;2012-06-02;2020-08-31;98;10.0;10.0;10.0;10.0;10.0;9.0;2.12;0
274688;https://www.airbnb.com/rooms/274688;Cozy sleeping in popular Amsterdam West;1435990;Marij;f;Bos en Lommer;Entire condominium;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Fire extinguisher"", ""Shampoo"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Paid parking on premises""]";125.0;43;2012-01-02;2019-08-10;97;10.0;10.0;10.0;10.0;9.0;9.0;0.39;0
274706;https://www.airbnb.com/rooms/274706;Beautiful central & quiet apartment;1436134;Veronica;f;Centrum-Oost;Entire apartment;Entire home/apt;1 bath;2.0;2.0;"[""Wifi"", ""Shampoo"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""Heating"", ""Washer""]";200.0;35;2012-05-01;2018-04-29;99;10.0;10.0;10.0;10.0;10.0;9.0;0.33;0
282269;https://www.airbnb.com/rooms/282269;Your central home in wonderful AMS!;1471195;Judith;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;2.0;3.0;"[""Wifi"", ""Dryer"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";116.0;3;2013-09-10;2015-09-15;100;10.0;10.0;10.0;10.0;10.0;10.0;0.03;0
283170;https://www.airbnb.com/rooms/283170;"5-bedrooms house; central location";1451657;Marco;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;5.0;12.0;"[""Children\u2019s books and toys"", ""Microwave"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Game console"", ""High chair"", ""Oven"", ""Children\u2019s dinnerware"", ""Private entrance"", ""Cable TV"", ""TV"", ""Baby bath"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Crib"", ""Fire extinguisher"", ""Shampoo"", ""Bathtub"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Baby safety gates"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Changing table"", ""Heating"", ""Washer""]";650.0;109;2012-04-12;2020-03-08;90;9.0;9.0;10.0;10.0;10.0;8.0;1.03;0
291752;https://www.airbnb.com/rooms/291752;Cozy & large bohemian style room;1511330;Ton;t;Oud-Oost;Private room in apartment;Private room;;1.0;1.0;"[""Wifi"", ""Iron"", ""Dedicated workspace"", ""Essentials"", ""Cable TV"", ""Hair dryer"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";105.0;209;2012-01-02;2020-03-12;97;10.0;10.0;10.0;10.0;10.0;9.0;1.92;0
302426;https://www.airbnb.com/rooms/302426;Sunny family flat in the Jordaan!;1557454;Lia & Reinier;f;Centrum-West;Entire apartment;Entire home/apt;1 bath;2.0;3.0;"[""Children\u2019s books and toys"", ""Outlet covers"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""High chair"", ""Oven"", ""Patio or balcony"", ""Children\u2019s dinnerware"", ""Babysitter recommendations"", ""TV"", ""Baby monitor"", ""Stove"", ""Wifi"", ""Crib"", ""Fire extinguisher"", ""Bathtub"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Room-darkening shades"", ""Dishwasher"", ""Baby safety gates"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Changing table"", ""Heating"", ""Washer""]";112.0;14;2012-02-26;2017-09-10;97;10.0;9.0;10.0;10.0;10.0;10.0;0.13;0
